"","Site","RCP","Period","Rgroup","GCM","M.Bmass","SD.Bmass","Med.Bmass","MAT","MAP","Site_Type"
"11987",28,"RCP45","Late","p.warm.grass","bcc-csm1-1",40.05177623,2.66494930501301,39.8814395,6.28228201,408.9984985,"unn"
"11988",28,"RCP45","Late","p.warm.grass","CanESM2",44.64233282,3.98253100633131,45.0971795,7.85319639,494.58799957,"unn"
"11989",28,"RCP45","Late","p.warm.grass","CCSM4",41.99115377,2.76731043833451,42.033161,7.08965073,451.70899993,"unn"
"11990",28,"RCP45","Late","p.warm.grass","CNRM-CM5",43.12061857,2.81927498702571,42.593908,6.90020449,500.42990055,"unn"
"11991",28,"RCP45","Late","p.warm.grass","CSIRO-Mk3-6-0",43.96748172,4.15439873013451,44.470747,7.07334678,490.29300172,"unn"
"11992",28,"RCP45","Late","p.warm.grass","GFDL-ESM2G",42.71922834,2.88751968875961,42.1409185,5.91480613,549.91120122,"unn"
"11993",28,"RCP45","Late","p.warm.grass","GFDL-ESM2M",41.01659055,2.87037922355408,40.854864,5.53462605,470.19320068,"unn"
"11994",28,"RCP45","Late","p.warm.grass","HadGEM2-CC365",43.37015514,3.07327315500869,42.9149435,7.34507813,445.52690036,"unn"
"11995",28,"RCP45","Late","p.warm.grass","HadGEM2-ES365",43.30185794,3.37968522283937,42.7619705,8.12023143,438.78849917,"unn"
"11996",28,"RCP45","Late","p.warm.grass","inmcm4",41.3193871,3.25775059480248,41.251459,5.96933498,421.19120026,"unn"
"11997",28,"RCP45","Late","p.warm.grass","IPSL-CM5A-LR",42.74462884,3.78271854393674,41.5638655,7.25406082,424.83209964,"unn"
"11998",28,"RCP45","Late","p.warm.grass","IPSL-CM5A-MR",41.43381955,2.7520517780117,40.793171,7.36662145,433.8939011,"unn"
"11999",28,"RCP45","Late","p.warm.grass","MIROC-ESM",42.34028642,2.46723067854943,42.265051,8.87397985,525.67820128,"unn"
"12000",28,"RCP45","Late","p.warm.grass","MIROC-ESM-CHEM",43.60677312,3.23341601289183,42.8169655,8.67535899,523.68830017,"unn"
"12001",28,"RCP45","Late","p.warm.grass","MIROC5",41.7142291,3.26691628647993,41.328081,7.73638657,472.2507019,"unn"
"12002",28,"RCP45","Late","p.warm.grass","MRI-CGCM3",41.40313474,2.41160434937561,41.023869,5.7927054,460.94859923,"unn"
"12003",28,"RCP45","Late","p.warm.grass","NorESM1-M",40.67606313,3.28130984252323,39.6311705,7.33050678,476.51030092,"unn"
"12004",28,"RCP45","Late","sagebrush","bcc-csm1-1",601.18618773,47.3321887621392,586.61557,6.28228201,408.9984985,"unn"
"12005",28,"RCP45","Late","sagebrush","CanESM2",768.31936037,54.375408509723,761.910767,7.85319639,494.58799957,"unn"
"12006",28,"RCP45","Late","sagebrush","CCSM4",724.05405822,64.2466378464261,747.499237,7.08965073,451.70899993,"unn"
"12007",28,"RCP45","Late","sagebrush","CNRM-CM5",779.44216004,63.137715989262,772.067261,6.90020449,500.42990055,"unn"
"12008",28,"RCP45","Late","sagebrush","CSIRO-Mk3-6-0",773.069364,70.7242774790719,773.1708065,7.07334678,490.29300172,"unn"
"12009",28,"RCP45","Late","sagebrush","GFDL-ESM2G",932.46344298,69.1426066223806,916.3999025,5.91480613,549.91120122,"unn"
"12010",28,"RCP45","Late","sagebrush","GFDL-ESM2M",753.27227846,35.6185708224642,755.207672,5.53462605,470.19320068,"unn"
"12011",28,"RCP45","Late","sagebrush","HadGEM2-CC365",697.00457704,29.5470014645012,694.406891,7.34507813,445.52690036,"unn"
"12012",28,"RCP45","Late","sagebrush","HadGEM2-ES365",695.73699276,45.4979125477883,687.1451725,8.12023143,438.78849917,"unn"
"12013",28,"RCP45","Late","sagebrush","inmcm4",623.25779547,39.2865124423824,628.2006835,5.96933498,421.19120026,"unn"
"12014",28,"RCP45","Late","sagebrush","IPSL-CM5A-LR",666.41406919,69.0989867808851,682.141571,7.25406082,424.83209964,"unn"
"12015",28,"RCP45","Late","sagebrush","IPSL-CM5A-MR",678.96885377,56.1763063935963,664.5491945,7.36662145,433.8939011,"unn"
"12016",28,"RCP45","Late","sagebrush","MIROC-ESM",862.49643985,51.2433060900905,862.1574095,8.87397985,525.67820128,"unn"
"12017",28,"RCP45","Late","sagebrush","MIROC-ESM-CHEM",867.03626894,70.1774285001106,855.0694885,8.67535899,523.68830017,"unn"
"12018",28,"RCP45","Late","sagebrush","MIROC5",769.39881163,46.5980034987194,779.436005,7.73638657,472.2507019,"unn"
"12019",28,"RCP45","Late","sagebrush","MRI-CGCM3",733.89926938,51.9970791387431,715.3026425,5.7927054,460.94859923,"unn"
"12020",28,"RCP45","Late","sagebrush","NorESM1-M",781.56890199,50.6954774510839,765.332001,7.33050678,476.51030092,"unn"
