Label,site_id,Include_YN,WeatherFolder,X_WGS84,Y_WGS84,ELEV_m,Slope,Aspect,dailyweather_source,Include_YN_DailyWeather
RA22,1,1,RA22,-109.4455,42.57128,2201.27124,1.087330315,318.8634115,DayMet_NorthAmerica,1
RA17,2,1,RA17,-109.61547,42.74675,2170.383545,11.42972907,243.0093886,DayMet_NorthAmerica,1
RA23,3,1,RA23,-109.67991,42.70082,2151.52002,1.218851465,304.4222766,DayMet_NorthAmerica,1
RA18,4,1,RA18,-109.77161,42.76766,2183.046631,1.080377727,208.3307841,DayMet_NorthAmerica,1
