"","Site","RCP","Period","Rgroup","Median_Biomass","Percent_Change"
"82","4","RCP45","Late","p.warm.grass",12.61826386,41.2353277233731
"83","4","RCP45","Late","sagebrush",305.98679985,76.139331308279
"84","4","RCP45","Late","shrub",0.77053531,9.86438780741085
"85","4","RCP85","Mid","a.forb",0.324262065,5.52641023973998
"86","4","RCP85","Mid","p.cool.grass",10.55461453,17.4593605077952
"87","4","RCP85","Mid","p.forb",2.1842774,13.2567972550592
"88","4","RCP85","Mid","p.warm.grass",12.28589313,40.1491706950157
"89","4","RCP85","Mid","sagebrush",305.69631651,76.0670497351045
"90","4","RCP85","Mid","shrub",0.58013465,7.42687985073203
"91","4","RCP85","Late","a.forb",0.392351325000001,6.68685798955716
"92","4","RCP85","Late","p.cool.grass",10.34254833,17.1085622643545
"93","4","RCP85","Late","p.forb",-0.267884715000001,-1.62584356477997
"94","4","RCP85","Late","p.warm.grass",13.97205957,45.6594078021952
"95","4","RCP85","Late","sagebrush",257.7154351,64.1278673000122
"96","4","RCP85","Late","shrub",-0.20271274,-2.59512712125139
"97","5","RCP45","Mid","a.forb",0.523091495,9.29207417275534
"98","5","RCP45","Mid","p.cool.grass",3.79345732,5.66227828664263
"99","5","RCP45","Mid","p.forb",1.17120597,6.70301057829918
"100","5","RCP45","Mid","p.warm.grass",9.42048099,27.7614430868155
"101","5","RCP45","Mid","sagebrush",303.42107942,70.75275546231
"102","5","RCP45","Mid","shrub",0.695149,8.93651793332515
"103","5","RCP45","Late","a.forb",0.622669355,11.0609518355135
"104","5","RCP45","Late","p.cool.grass",4.3075197,6.42959000434869
"105","5","RCP45","Late","p.forb",1.419086105,8.12167066850964
"106","5","RCP45","Late","p.warm.grass",8.54804685,25.1904458362171
"107","5","RCP45","Late","sagebrush",293.57246617,68.456222451973
"108","5","RCP45","Late","shrub",0.88460004,11.3720139441762
"109","5","RCP85","Mid","a.forb",0.581402435,10.3278959835517
"110","5","RCP85","Mid","p.cool.grass",4.67568953,6.97913619884914
"111","5","RCP85","Mid","p.forb",1.222150385,6.99457411314888
"112","5","RCP85","Mid","p.warm.grass",8.56666779,25.2453203343008
"113","5","RCP85","Mid","sagebrush",305.06775548,71.1367329658557
"114","5","RCP85","Mid","shrub",0.724007599999999,9.30751090955133
"115","5","RCP85","Late","a.forb",0.612720955,10.884230799932
"116","5","RCP85","Late","p.cool.grass",4.42196999000001,6.60042345186115
"117","5","RCP85","Late","p.forb",-1.439474685,-8.23835797280721
"118","5","RCP85","Late","p.warm.grass",10.42424376,30.7194558508771
"119","5","RCP85","Late","sagebrush",244.31312843,56.9697631591127
"120","5","RCP85","Late","shrub",-0.42081065,-5.40974944977151
"121","6","RCP45","Mid","a.forb",-0.0720692700000001,-1.20776716917683
"122","6","RCP45","Mid","p.cool.grass",-4.31676379,-5.72463254129116
"123","6","RCP45","Mid","p.forb",0.264806085,1.451968724582
"124","6","RCP45","Mid","p.warm.grass",2.43849419,5.91275899646774
"125","6","RCP45","Mid","sagebrush",156.46833681,28.0936440646017
"126","6","RCP45","Mid","shrub",-0.0987055900000016,-1.15067589934596
"127","6","RCP45","Late","a.forb",0.58412569,9.78902424091105
"128","6","RCP45","Late","p.cool.grass",-4.25634706,-5.64451150724301
"129","6","RCP45","Late","p.forb",0.464130839999999,2.54489417716353
"130","6","RCP45","Late","p.warm.grass",2.26439286,5.490605353668
"131","6","RCP45","Late","sagebrush",206.39961186,37.0587260584736
"132","6","RCP45","Late","shrub",-0.187409150000001,-2.18475156495097
"133","6","RCP85","Mid","a.forb",0.276253795000001,4.62957740464843
"134","6","RCP85","Mid","p.cool.grass",-3.83232172,-5.08219460092555
"135","6","RCP85","Mid","p.forb",0.342422919999997,1.87755266432053
"136","6","RCP85","Mid","p.warm.grass",1.64600092,3.99115437216776
"137","6","RCP85","Mid","sagebrush",168.62047612,30.2755415868662
"138","6","RCP85","Mid","shrub",-0.0562597800000013,-0.655857210807475
"139","6","RCP85","Late","a.forb",0.325051265,5.44734595156018
"140","6","RCP85","Late","p.cool.grass",-4.76380743999999,-6.31747494607967
"141","6","RCP85","Late","p.forb",-2.28130588,-12.5087185551836
"142","6","RCP85","Late","p.warm.grass",3.89562366,9.44594575495691
"143","6","RCP85","Late","sagebrush",114.84122558,20.619561638882
"144","6","RCP85","Late","shrub",-1.03603143,-12.0776989172134
"145","7","RCP45","Mid","a.forb",0.354760475,6.05020060423202
"146","7","RCP45","Mid","p.cool.grass",6.0207245,9.41332551673134
"147","7","RCP45","Mid","p.forb",1.25850649,7.26856160796571
"148","7","RCP45","Mid","p.warm.grass",8.05087436,23.212937737928
"149","7","RCP45","Mid","sagebrush",299.15860936,71.5115720258281
"150","7","RCP45","Mid","shrub",0.88693134,11.297708074227
"151","7","RCP45","Late","a.forb",0.705356210000001,12.0293743770098
"152","7","RCP45","Late","p.cool.grass",7.57942715,11.8503371136316
"153","7","RCP45","Late","p.forb",1.564665225,9.03679533965219
"154","7","RCP45","Late","p.warm.grass",7.98410311,23.0204174227888
"155","7","RCP45","Late","sagebrush",335.07682352,80.0975457487204
"156","7","RCP45","Late","shrub",0.482222590000001,6.14253866439952
"157","7","RCP85","Mid","a.forb",0.45696251,7.79318737272912
"158","7","RCP85","Mid","p.cool.grass",6.32331470999999,9.88642142817954
"159","7","RCP85","Mid","p.forb",1.008098075,5.82231639108126
"160","7","RCP85","Mid","p.warm.grass",7.68444096,22.1564070657369
"161","7","RCP85","Mid","sagebrush",289.58372898,69.2227702781603
"162","7","RCP85","Mid","shrub",0.73531496,9.36642261473354
"163","7","RCP85","Late","a.forb",0.51290396,8.747231068244
